ID,Treatment,nSF,Max_Stages_Reached,n_L_SF1,n_L_SF2,Alive,Contamination,Exclude,Shoot_Length_Init,Shoot_Length,Delta_Length,FW_Plant,DW_Plant,FW_Shoot,DW_Shoot,FW_Stem,DW_Stem,FW_L_SF1,DW_L_SF1,FW_L_SF2,DW_L_SF2,FW_L_Rest,DW_L_Rest,FW_Bud,DW_Bud,FW_Roots_Total,DW_Roots_Total,FW_PR,DW_PR,FW_LR,DW_LR,A_L_SF1,A_L_SF2,N_Ceno,N_Pilo,N_Other,N_No,Length_Tot,Area_Tot,Diameter_Avg,Root_Vol,Tips,Forks,Crossings,Length_Fine,SA_Fine,Vol_Fine
07052024022,Ceno,1,1,1,3,yes,no,no,3.2,4.6,1.4,1.4264,0.2469,0.5092,0.2469,0.2073,0.1019,0.0497,0.0277,0.2367,0.1122,,,0.0109,0.005,0.9138,0.29,0.6,0.215,0.2001,0.075,3.976,20.211,1,0,0,93,398.76,42.18,0.34,0.36,1373,2361,486,375.3015,25.815,0.2506
07052024023,Ceno,2,4,4,2,yes,no,no,4,5.3,1.3,1.7156,0.3095,0.7711,0.3095,0.2365,0.1067,0.2707,0.1178,0.2518,0.085,,,,,0.947,0.294,0.702,0.249,0.1327,0.045,24.136,18.456,9,0,0,117,318.41,36.31,0.36,0.33,1235,1839,355,288.6541,16.9136,0.1399
07052024024,Ceno,2,2,1,3,yes,no,no,2.6,5.9,3.3,1.5109,0.2674,0.5268,0.2674,0.2102,0.108,0.0269,0.021,0.2815,0.137,,,0.0063,0.001,0.9812,0.303,0.659,0.237,0.2093,0.066,3.038,26.217,29,0,0,177,407.69,46,0.36,0.41,1335,2874,674,382.2499,26.8215,0.2625
07052024025,Pilo,3,7,2,3,yes,no,no,3.6,8,4.4,2.4549,0.6332,1.283,0.6332,0.3767,0.168,0.2356,0.1572,0.6125,0.2694,0.0529,0.039,,,1.0804,0.349,0.644,0.228,0.3862,0.121,25.432,42.63,0,9,0,183,342.55,53.52,0.5,0.67,818,1365,202,315.1209,31.2282,0.3645
07052024026,Pilo,3,5,2,2,yes,no,no,2.4,5.1,2.7,2.0362,0.4362,0.9678,0.4362,0.2362,0.0956,0.1995,0.1103,0.5117,0.221,0.0174,0.009,,,0.9114,0.304,0.719,0.25,0.1921,0.054,17.13,37.084,0,3,0,128,334.2,49.5,0.47,0.58,903,1480,237,302.1237,25.9338,0.2737
07052024027,Pilo,3,6,3,3,yes,no,no,1.8,6.6,4.8,2.014,0.4352,0.9661,0.4352,0.2316,0.1001,0.2202,0.1121,0.5107,0.223,,,,,0.9155,0.303,0.859,0.284,0.0557,0.02,17.613,33.936,0,1,0,104,260.05,40.6,0.5,0.5,684,1015,137,239.857,22.9208,0.2841
07052024028,Pilo,3,6,3,3,yes,no,no,1.7,7.4,5.7,1.9383,0.4082,0.912,0.4082,0.2645,0.098,0.5007,0.2161,0.0315,0.0091,0.1133,0.085,,,0.8703,0.298,0.661,0.237,0.1448,0.06,34.488,1.518,0,0,0,100,367.21,53.34,0.46,0.62,1075,1636,313,337.5358,31.2005,0.3606
07052024029,Pilo,3,7,3,3,yes,no,no,2.4,5.5,3.1,1.4342,0.2907,0.6727,0.2907,0.1827,0.0726,0.3652,0.1672,0.0403,0.0128,0.0792,0.038,,,0.6726,0.203,0.609,0.178,0.0632,0.025,28.098,1.98,0,1,0,87,310.9,33.96,0.35,0.3,1152,1721,345,300.9129,23.4763,0.2614
07052024030,Pilo,3,7,3,3,yes,no,no,2.3,7.1,4.8,2.8047,0.5675,1.2869,0.5675,0.3202,0.1358,0.2574,0.1189,0.7036,0.3128,,,,,1.5142,0.415,0.954,0.315,0.3599,0.1,16.221,44.181,0,2,0,181,584.33,65.29,0.36,0.58,1808,4226,975,554.8018,39.3402,0.3929
07052024031,Pilo,3,7,3,4,yes,no,no,2.8,7,4.2,2.5888,0.5277,1.1329,0.5277,0.3523,0.1568,0.1741,0.0976,0.5867,0.2681,,,0.0137,0.005,1.4429,0.456,1.007,0.381,0.25,0.075,16.548,41.888,0,0,0,100,521.82,62.91,0.38,0.6,1645,2951,600,492.5604,39.686,0.4456
07052024032,Pilo,3,5,3,4,yes,no,no,3.6,14,10.4,3.4037,0.9379,1.9271,0.9379,0.5767,0.2696,0.4026,0.1974,0.8425,0.4006,0.0981,0.07,,,1.4763,0.528,0.974,0.425,0.2591,0.103,29.658,55.776,0,0,0,100,770.49,77.18,0.32,0.62,2615,5145,1375,731.3443,49.4874,0.5222
07052024033,Pilo,3,6,3,3,yes,no,no,1.6,9.5,7.9,2.9646,0.6295,1.2702,0.6295,0.3824,0.1778,0.2516,0.1591,0.6317,0.2926,,,,,1.6877,0.611,1.051,0.462,0.3931,0.149,28.167,43.905,0,4,0,166,756.62,75.72,0.32,0.6,2646,5231,1163,723.5521,47.5782,0.4424
07052024034,Pilo,,,,,no,no,yes,1.9,1.9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07052024035,Pilo,3,5,2,4,yes,no,no,2.8,6.3,3.5,2.4502,0.5158,1.0979,0.5158,0.3361,0.1554,0.2592,0.1232,0.4992,0.2372,,,,,1.3498,0.414,1.107,0.338,0.2418,0.076,20.51,31.916,0,1,0,161,541.17,57.79,0.34,0.49,2171,3267,715,509.6538,34.2365,0.3541
07052024036,Pilo,2,2,5,4,yes,no,no,3.7,10.1,6.4,3.214,0.655,1.2405,0.655,0.5385,0.2607,0.1553,0.1244,0.4809,0.2376,0.0345,0.023,0.0219,0.009,1.9612,0.817,1.469,0.697,0.2503,0.12,16.98,33.268,0,3,0,101,1094.78,99.58,0.29,0.72,4238,8698,2651,1045.854,62.7677,0.5796
07052024037,Co_Inoc,2,4,0,2,yes,no,no,5.3,7.1,1.8,1.1778,0.2455,0.5405,0.2455,0.2275,0.1069,,,0.3038,0.1353,,,0.0076,0.003,0.5393,0.198,0.462,0.164,0.0717,0.034,,22.076,38,0,0,107,198.16,31.16,0.5,0.39,561,752,73,177.0295,17.1978,0.2046
07052024038,Co_Inoc,2,5,2,2,yes,no,no,4,9,5,2.1594,0.4173,0.9045,0.4173,0.3087,0.1346,0.173,0.0933,0.3565,0.1463,0.0549,0.039,0.0092,0.004,1.0911,0.381,0.772,0.287,0.2318,0.093,16.422,25.13,6,0,0,113,498.63,69.44,0.44,0.77,1314,2327,340,459.1562,39.7595,0.4283
07052024039,Co_Inoc,3,6,3,4,yes,no,no,2.3,5.6,3.3,2.2997,0.5077,1.1802,0.5077,0.3677,0.1431,0.3205,0.1548,0.4433,0.1849,0.0261,0.019,0.0173,0.006,1.0181,0.338,0.872,0.31,0.0763,0.028,28.812,39.268,13,0,0,151,313.79,48.64,0.49,0.6,766,1092,141,289.0873,30.6674,0.4026
07052024040,Co_Inoc,3,6,3,2,yes,no,no,1.8,7.2,5.4,2.1546,0.4649,1.0754,0.4649,0.2628,0.1096,0.2299,0.1219,0.5791,0.2334,,,,,1.0155,0.323,0.832,0.277,0.1286,0.046,24.375,40.034,3,0,0,133,325.05,46.7,0.46,0.53,927,1177,192,293.1167,24.6464,0.2632
07052024041,Co_Inoc,2,2,3,4,yes,no,no,2.1,7,4.9,3.0892,0.4686,0.998,0.4686,0.3948,0.1836,0.1225,0.0755,0.4566,0.2011,,,0.0199,0.008,1.9296,0.699,1.296,0.522,0.4933,0.177,12.075,38.28,8,0,0,155,931.57,96.68,0.33,0.8,2783,6393,1586,884.4365,60.2673,0.5943
07052024042,Co_Inoc,3,5,3,1,yes,no,no,2.9,5.8,2.9,2.525,0.5121,1.1278,0.5121,0.2908,0.1289,0.3412,0.1677,0.4574,0.1901,0.032,0.025,,,1.2872,0.433,0.866,0.352,0.2337,0.081,31.926,24.689,3,0,0,144,674.63,64.64,0.31,0.49,2321,4120,1072,643.9369,40.7646,0.3903
07052024043,Co_Inoc,3,5,4,3,yes,no,no,4.5,10.1,5.6,3.2835,0.6264,1.3509,0.6264,0.4531,0.205,0.2085,0.1175,0.6846,0.3039,,,,,1.9338,0.62,1.455,0.553,0.2323,0.067,19.288,46.794,12,0,0,188,699.51,84.54,0.38,0.81,1659,4913,1232,652.9814,50.4208,0.5776
07052024044,Co_Inoc,3,6,3,4,yes,no,no,3,8.2,5.2,2.1554,0.4966,1.1205,0.4966,0.2589,0.1103,0.2904,0.1369,0.513,0.2171,0.052,0.032,,,1.0314,0.3,0.712,0.251,0.1327,0.048,25.308,36.812,20,0,0,101,420.91,46.6,0.35,0.41,1411,2508,453,397.6056,29.0825,0.2955
07052024045,Co_Inoc,3,6,2,2,yes,no,no,2.2,4.5,2.3,1.5218,0.3362,0.7561,0.3362,0.1696,0.0709,0.2263,0.1114,0.3343,0.1394,0.0195,0.015,,,0.7622,0.221,0.532,0.193,0.0751,0.028,19.398,22.796,4,0,0,134,359.38,36.32,0.32,0.29,1254,2301,559,337.1511,21.4958,0.2075
07052024046,Co_Inoc,3,6,3,4,yes,no,no,2.2,7.6,5.4,2.4399,0.5568,1.1699,0.5568,0.3174,0.1435,0.2313,0.1311,0.6167,0.2822,,,,,1.2669,0.387,0.889,0.319,0.2064,0.068,23.97,41.972,21,0,0,145,505.57,43.74,0.28,0.3,2133,3818,1118,487.9941,27.9241,0.2341
07052024047,Co_Inoc,3,4,2,3,yes,no,no,3.3,7,3.7,2.4096,0.4931,1.2074,0.4931,0.2987,0.1196,0.2629,0.1156,0.6083,0.2354,0.033,0.023,,,1.1988,0.356,0.824,0.321,0.0928,0.035,11.092,46.797,8,0,0,171,519.61,57.44,0.35,0.51,1914,3228,603,495.1707,37.7713,0.4396
07052024048,Co_Inoc,1,1,0,4,yes,no,no,3.4,5,1.6,2.2135,0.8965,0.6382,0.3057,0.2798,0.1286,,,0.3411,0.1716,,,0.0146,0.006,1.5694,0.591,1.036,0.473,0.3636,0.118,,25.252,4,0,0,126,687.08,69.29,0.32,0.56,2458,4478,1047,650.1948,39.9927,0.3325
