ID,Treatment,nSF,Max_Stages_Reached,n_L_SF1,n_L_SF2,Alive,Contamination,Exclude,Shoot_Length_Init,Shoot_Length,Delta_Length,FW_Plant,DW_Plant,FW_Shoot,DW_Shoot,FW_Stem,DW_Stem,FW_L_SF1,DW_L_SF1,FW_L_SF2,DW_L_SF2,FW_L_Rest,DW_L_Rest,FW_Bud,DW_Bud,FW_Roots_Total,DW_Roots_Total,FW_PR,DW_PR,FW_LR,DW_LR,A_L_SF1,A_L_SF2,N_Ceno,N_Pilo,N_Other,N_No,Length_Tot,Area_Tot,Diameter_Avg,Root_Vol,Tips,Forks,Crossings,Length_Fine,SA_Fine,Vol_Fine
18042024016,Ceno,2,2,3,4,yes,no,no,1.9,3.8,1.9,1.5781,0.5144,0.4921,0.2333,0.1377,0.0654,0.0922,0.056,0.2153,0.0999,0.0137,0.0068,0.011,0.0052,0.9077,0.2811,0.5572,0.2096,0.1811,0.0715,9.303,20.061,47,0,0,62,497.3015,51.4983,0.3296,0.424,1711,3563,721,476.9987,33.1833,0.3333
18042024017,Ceno,2,3,4,3,yes,no,no,2.4,4,1.6,0.969,0.3391,0.2895,0.1365,0.0897,0.0439,0.036,0.0213,0.139,0.0675,,,0.0075,0.0038,0.5822,0.2026,0.4282,0.1555,0.1234,0.0471,3.404,13.495,9,0,0,94,392.8448,36.6552,0.297,0.272,1355,2545,627,373.5663,22.9141,0.2057
18042024018,Ceno,2,5,4,3,yes,no,no,1.8,5,3.2,1.4194,0.5456,0.6591,0.3317,0.1831,0.0817,0.2118,0.1129,0.2442,0.1218,0.0206,0.0137,0.0068,0.0016,0.6202,0.2139,0.4411,0.165,0.1455,0.0489,22.568,19.593,12,0,0,112,512.1881,44.4756,0.2764,0.307,1981,3631,839,494.2021,28.6588,0.2521
18042024019,Ceno,3,6,3,2,yes,no,no,3.9,5.5,1.6,2.1168,0.896,0.8305,0.4301,0.2617,0.1331,0.0505,0.0348,0.4055,0.2066,0.0697,0.0448,0.0234,0.0108,1.0777,0.4659,0.787,0.3731,0.1984,0.0928,5.457,32.124,48,0,0,121,676.4618,70.0642,0.3297,0.577,2269,4965,1110,644.9815,45.1846,0.4724
18042024020,Ceno,3,5,3,2,yes,no,no,1.9,4.4,2.5,1.2908,0.5111,0.5484,0.2675,0.1391,0.0662,0.1124,0.0662,0.2908,0.1351,,,,,0.666,0.2436,0.4863,0.2107,0.0757,0.033,12.297,21.82,5,0,0,78,380.4486,37.1683,0.311,0.289,1458,2334,574,359.6481,22.3073,0.1996
18042024021,Ceno,2,4,5,3,yes,no,no,2.4,8,5.6,1.9554,0.8097,1.0955,0.4915,0.3034,0.1361,0.2632,0.1386,0.4271,0.1562,0.0922,0.061,,,0.7847,0.3182,0.5577,0.2481,0.1632,0.07,29.089,25.319,84,0,0,27,488.3963,45.6454,0.2975,0.339,1610,3298,832,467.5109,27.7813,0.2377
18042024022,Ceno,2,4,2,2,yes,no,no,1.4,3.6,2.2,1.2049,0.4918,0.6582,0.3119,0.1222,0.0522,0.1379,0.0808,0.3538,0.1538,0.0352,0.025,,,0.5048,0.1799,0.3581,0.134,0.1174,0.046,16,24.778,25,0,0,72,291.9494,30.4216,0.3317,0.252,1148,1904,346,279.6964,19.8394,0.2069
18042024023,Ceno,2,3,3,2,yes,no,no,4.2,7,2.8,1.327,0.504,0.5879,0.2748,0.2371,0.1131,0.2019,0.0962,0.0806,0.025,0.0625,0.041,,,0.6632,0.2292,0.4082,0.153,0.2092,0.076,15.589,5.221,14,0,0,84,553.2251,48.5075,0.2791,0.338,1893,3624,1008,529.3599,30.9901,0.2677
18042024024,Ceno,2,1,0,3,yes,no,no,1.4,4.9,3.5,1.3139,0.5084,0.3848,0.1856,0.1227,0.0609,,,0.2486,0.1189,,,0.0127,0.006,0.8429,0.3228,0.5924,0.237,0.207,0.086,,21.301,9,0,0,81,513.1285,49.2714,0.3056,0.376,1569,3584,967,487.4242,28.8361,0.2342
18042024025,Pilo,3,,6,3,yes,yes,yes,2.5,5.1,2.6,2.9738,1.14,1.2353,0.6067,0.2948,0.1387,0.2386,0.1517,0.6506,0.3124,,,0.01,0.0039,1.4811,0.5333,0.984,0.4009,0.3297,0.1324,25.858,44.583,0,0,0,100,928.684,93.0915,0.3191,0.743,3264,7486,2052,881.5827,55.3628,0.4805
18042024026,Pilo,2,5,5,3,yes,no,no,3.1,9.2,6.1,3.7737,1.4418,1.7471,0.813,0.4819,0.2329,0.3996,0.1996,0.8323,0.3805,,,,,1.9621,0.6288,1.191,0.4644,0.5308,0.1644,33.523,27.004,0,9,0,85,743.284,94.0002,0.4026,0.946,2277,5614,1148,692.0163,53.3903,0.5457
18042024027,Pilo,2,6,3,2,yes,no,no,2.2,11.8,9.6,2.775,0.8113,1.3765,0.4625,0.4159,0.1428,0.4852,0.2047,0.4318,0.0955,0.0343,0.0195,,,1.19,0.3488,0.7934,0.2757,0.3017,0.0731,37.054,31.415,0,5,0,103,605.9036,71.4164,0.3752,0.67,2042,4029,792,569.7916,44.3758,0.4813
