"Treatment","response","SE","df","lower.CL","upper.CL","Part"
"Control",0.453567514597558,0.0275055266994483,82,0.383516854690768,0.523618174504348,"Shoot"
"Pilo",0.47366276586997,0.0291267922686154,82,0.399483091302043,0.547842440437897,"Shoot"
"Ceno",0.351858330159944,0.0256275976469571,82,0.286590351596528,0.417126308723359,"Shoot"
"Co_Inoc",0.395743444153842,0.0253353168124786,82,0.331219842004557,0.460267046303126,"Shoot"
"Control",0.332049163229227,0.0261926790038616,82,0.265153166092717,0.398945160365736,"Roots"
"Pilo",0.385646437453976,0.0277365610424506,82,0.314807371782272,0.456485503125679,"Roots"
"Ceno",0.323345119635379,0.0244043841131146,82,0.261016420478317,0.385673818792442,"Roots"
"Co_Inoc",0.337522080037482,0.0241260539375056,82,0.27590423503275,0.399139925042215,"Roots"
