"contrast","odds.ratio","lower.HPD","upper.HPD","significance"
"Control / Ceno",457.764714691954,0.323953695707863,5539.31449819522,FALSE
"Control / Co_Inoc",18.6731923132159,0.0263170894977217,215.770657708618,FALSE
"Control / Pilo",0.0912887355010132,0.000283672182015475,1.07321487633023,FALSE
"Ceno / Co_Inoc",0.0406221453236496,6.79905640127185e-05,0.437404157541507,TRUE
"Ceno / Pilo",0.000197219277489546,5.1038314030807e-07,0.00218139839790738,TRUE
"Co_Inoc / Pilo",0.00489312212533072,1.70460564970505e-05,0.0497647352248982,TRUE
